id,category,title,body,amenities,bathrooms,bedrooms,currency,fee,has_photo,pets_allowed,price,price_display,price_type,square_feet,address,cityname,state,latitude,longitude,source,time
5508832632,housing/rent/apartment,"Two BR - $1,194/mo - Apartment - come and see this one.","Come experience. in Cary, NC offering recently remodeled one, 2 or 3 beds apartment homes with upgraded features such as state of the art kitchens with breakfast bars, new energy efficient appliances, cozy gas fireplaces, over-sized garden tubs and so much more! We offer some of the best amenities available in Cary or anywhere else in the area! Check out our 24-hr mega fitness facilities with brand new TRX fitness equipment, take a dip in our saltwater swimming pool, enjoy dinner under the outoor kitchen, complete with a gas grill, let your furry friend play in our bark park with agility equipment and so much more! Our community provides a peaceful atmosphere in a beautifully landscaped location that is close to everything Cary has to offer. Enjoy easy access to US-1/US-64, Interstate 40, Interstate 440 Beltline, Wake Medical Hospital, downtown Raleigh and Research Triangle Park. Schedule your appointment or come Your exclusive.","Clubhouse,Fireplace,Gym,Patio/Deck,Playground,Pool",2.5,2.0,USD,No,Thumbnail,"Cats,Dogs",1194,"$1,194 ",Monthly,800,,Cary,NC,35.7585,-78.7783,RentDigs.com,1568755960
5664576849,housing/rent/apartment,One BR 640 West Wilson Street,"This unit is located at 640 West Wilson Street, Madison, 53703, WIMonthly rental rates range from $1370We have 1 beds units available for rent Apartment available amenities:-- Handicapped access- Dishwasher- Fitness facilities- Storage- Balcony, Deck, Patio- Air conditioned- Controlled Access- On Bus Line","Cable or Satellite,Dishwasher,Elevator,Garbage Disposal,Internet Access,Parking,Patio/Deck,Refrigerator,Storage",1.0,1.0,USD,No,Thumbnail,"Cats,Dogs",1370,"$1,370 ",Monthly,795,640 West Wilson St,Madison,WI,43.0724,-89.4003,RentLingo,1577015508
5668619365,housing/rent/apartment,One BR 2777 Sw Archer Rd,"This unit is located at 2777 Sw Archer Rd, Gainesville, 32608, FLMonthly rental rates range from $1009 - $1491We have one - three beds units available for rent Apartment features include:-- In-Unit Laundry- Living Room- Refrigerator- Dishwasher- Fitness facilities- Balcony, Deck, Patio- Cable Included- Ac","Basketball,Cable or Satellite,Dishwasher,Internet Access,Patio/Deck,Refrigerator,Tennis",1.0,1.0,USD,No,Thumbnail,"Cats,Dogs",1009,"$1,009 ",Monthly,560,2777 SW Archer Road,Gainesville,FL,29.6533,-82.3656,RentLingo,1577358921
5668632604,housing/rent/apartment,One BR 534-542 Park Avenue,"This unit is located at 534-542 Park Avenue, Omaha, 68105, NEMonthly rental rates range from $695We have 1 beds units available for rent",,1.0,1.0,USD,No,Thumbnail,"Cats,Dogs",695,$695 ,Monthly,600,534-542 Park Ave,Omaha,NE,41.2562,-96.0404,RentLingo,1577359849
5668637441,housing/rent/apartment,Three BR 2216 S Palm Grove Ave,"This unit is located at 2216 S Palm Grove Ave, Los Angeles, 90016, CAMonthly rental rates range from $3695We have 3 beds units available for rent",,3.0,3.0,USD,No,Thumbnail,,3695,"$3,695 ",Monthly,1600,2216 S Palm Grove Avenue,Los Angeles,CA,34.0372,-118.2972,RentLingo,1577360159
5664597879,housing/rent/apartment,Three BR 680 Bromley Dr.,"This unit is located at 680 Bromley Dr., Baton Rouge, 70808, LAMonthly rental rates range from $1750We have 3 beds units available for rent",,2.0,3.0,USD,No,Thumbnail,,1750,"$1,750 ",Monthly,2300,680 Bromley Drive,Baton Rouge,LA,30.4415,-91.1012,RentLingo,1577017123
5509268702,housing/rent/apartment,Studio in Lynnwood,"We believe that elevating where you live is all about blending it seamlessly with how you live. We go to great lengths designing amenities and choosing locations that put everything within reach. Where you live, is where you come alive. In an area flourishing with convenience, recreation and possibility, our Community Alderwood community offers you upscale apartment homes for rent. Inside our refreshing smoke-free community, you'll find thoughtfully designed one-, two- and 3 beds apartment homes, including Contemporary and Urban Flats. Imagine entertaining in gourmet kitchens with quartz counters, stainless appliances and espresso cabinets. Picture living life effortlessly with amenities that include a state-of-the-art fitness facilities, a wonderful swimming pool, beautifully landscaped courtyards with gas barbecues and fire pits. Not to the easy access to Interstates five and 405. This is not just apartment living. This is living up.","Gym,Pool",1.0,2.0,USD,No,Yes,,2470,"$2,470 ",Monthly,1079,,Lynnwood,WA,47.8616,-122.2729,RentDigs.com,1568782110
5664594606,housing/rent/apartment,Three BR 1712 Donald Dr,"This unit is located at 1712 Donald Dr, Shawnee, 74804, OKMonthly rental rates range from $1250We have 3 beds units available for rent",,2.0,3.0,USD,No,Thumbnail,"Cats,Dogs",1250,"$1,250 ",Monthly,1177,1712 Donald Drive,Shawnee,OK,35.3537,-96.8923,RentLingo,1577016836
5668628991,housing/rent/apartment,One BR 2975 Blackburn St Apartment 678,"This unit is located at 2975 Blackburn St Apartment 678, Dallas, 75204, TXMonthly rental rates range from $1789We have 1 beds units available for rent",,1.0,1.0,USD,No,Thumbnail,"Cats,Dogs",1789,"$1,789 ",Monthly,678,2975 Blackburn St Apartment 678,Dallas,TX,32.8212,-96.7853,RentLingo,1577359585
5668609854,housing/rent/apartment,Two BR 290 9th Ave Sw,"This unit is located at 290 ninth Ave Sw, Forest Lake, 55025, MNMonthly rental rates range from $1225We have 2 beds units available for rent Apartment features include:-- Dishwasher- Balcony, Deck, Patio- Fitness facilities- On-Site Laundry- Air conditioner- Controlled Access- Storage- Heat Included","Cable or Satellite,Dishwasher,Elevator,Internet Access,Parking,Patio/Deck,Playground,Refrigerator,Storage",1.0,2.0,USD,No,Thumbnail,,1225,"$1,225 ",Monthly,995,290 9th Avenue SW,Forest Lake,MN,45.2764,-92.9901,RentLingo,1577358292
5508806497,housing/rent/apartment,"Wards Corner, prime location Studio, Apartment","Bondale Apartments blend classic architecture with a setting nestled among giant hardwoods. You can enjoy living in the Wards Corner area and be minutes from everything in Norfolk, Virginia. Bondale Apartments are moments away from ODU, EVMS, Norfolk State, Interstate 64 and all major Southside Military Bases, and yet removed from the hustle and bustle of the city. Our comfortable studio, 1 and 2 beds apartments have beautiful wooden floors and all the comforts of home. Visit Bondale today! Our staff would like to welcome you to a warm and welcoming community. you may never want to leave. Clothes Care Center, Up-to-date Apartments, Overhead fans, Energy Efficient Windows & Heat Pumps, Mini Blinds, Monitoring System in each Apartment. Pets Max one allowed, Max weight 25lb each Comments: Small pets welcome. Cats allowed Dogs allowed. More units available: two Bd / 1 Bedrooms 820 square feet for $953/mo | one Bd / 1 Bedrooms 624 square ft for $800/mo",Wood Floors,1.0,2.0,USD,No,Thumbnail,"Cats,Dogs",715,$715 ,Monthly,414,,Norfolk,VA,36.9141,-76.2882,RentDigs.com,1568754078
5668627698,housing/rent/apartment,One BR 4060 N 150 W,"This unit is located at 4060 N 150 W, Columbus, 47201, INMonthly rental rates range from $703 - $900We have one - four beds units available for rent","Dishwasher,Parking,Pool,Refrigerator",1.0,1.0,USD,No,Thumbnail,"Cats,Dogs",703,$703 ,Monthly,734,4060 N 150 W,Columbus,IN,39.2129,-85.9099,RentLingo,1577359482
5508987575,housing/rent/apartment,We love dogs! Having trouble finding a place that does?,"With upgrades and amenities, Neo Midtown apartments offer you the best of luxurious living in Dallas, Texas. We ve blended 2 distinct living styles, with apartments that feature both traditional garden, and state of the art mid-rise styles. Select from either one or two beds apartments that are designed with both your comfort and your style in mind. The apartments feature hardwood-style flooring, stainless appliances, sleek cabinetry, and more! You will enjoy an array of amenities and Midtown that you won t find anywhere else in Dallas! Relax and of our 2 newly upgraded saltwater swimming pools, take your canine friend to our fenced-in dog park, or mingle with recently remodeled 24-hr resident hub. From the moment you move in, you ll be part of a gated property located within walkable distance of the Galleria Mall and its world-class shopping and dining with stores like West Elm, Whole Foods, and Apple. We re just a few blocks east of the Dallas North Tollway and 1mi north of I-635/LBJ freeway.","Gated,Pool,TV",1.0,1.0,USD,No,Thumbnail,,1035,"$1,035 ",Monthly,678,,Dallas,TX,32.9455,-96.7962,RentDigs.com,1568765553
5668630136,housing/rent/apartment,One BR 2225 E Oltorf St,"This unit is located at 2225 E Oltorf St, Austin, 78741, TXMonthly rental rates range from $1030 - $1180We have one - two beds units available for rent","Dishwasher,Internet Access,Parking,Pool,Refrigerator",1.0,1.0,USD,No,Thumbnail,"Cats,Dogs",1030,"$1,030 ",Monthly,527,2225 E Oltorf St,Austin,TX,30.3054,-97.7497,RentLingo,1577359672
5509014326,housing/rent/apartment,The Best of the Best in the City of Texarkana! Save Big!,"Welcome home , in lovely Texarkana, Texas. Our perfect location is just minutes from Central Mall, banks and all major shopping centers. If you are looking for a quiet, relaxed country atmosphere with the conveniences of city living, look no further. Quality prices in a convenient location makes Apartments the perfect tohome! offers one, 2 and 3 beds floor plans carefully designed with your comfort and enjoyment in mind. Our bright, open and airy floor plans feature all electric kitchens, plush carpeting, mini blinds and central air and heating. These special touches redefine apartment home living. Discover the lifestyle you've been missing here. Apartments provides you with a responsive and courteous management and maintenance staff along with highly desirable amenities that makes life a true pleasure. Take a dip in our beautiful swimming pool. Host a get together for friends and family in our club house or relax and watch the play area. There's something for ! Income Requirement: Must have 3.","AC,Clubhouse,Parking,Playground,Pool",1.5,2.0,USD,No,Thumbnail,,563,$563 ,Monthly,805,,Texarkana,TX,33.4632,-94.0736,RentDigs.com,1568767583
5668638422,housing/rent/apartment,Three BR 11254 SE Falco St,"This unit is located at 11254 SE Falco St, Happy Valley, 97086, ORMonthly rental rates range from $2395We have 3 beds units available for rent",,2.5,3.0,USD,No,Thumbnail,,2395,"$2,395 ",Monthly,2427,11254 SE Falco St,Happy Valley,OR,45.4157,-122.5243,RentLingo,1577360234
5668611268,housing/rent/apartment,One BR 1308 S. De Soto Ave,"This unit is located at 1308 S. De Soto Ave, Tampa, 33606, FLMonthly rental rates range from $1599We have 1 beds units available for rent Apartment features include:-- Range / Oven- Dishwasher- Public Transportation- Living Room- Balcony, Deck, Patio- Refrigerator- Hard wood floors- On-Site Laundry","Dishwasher,Parking,Patio/Deck,Refrigerator",1.0,1.0,USD,No,Thumbnail,"Cats,Dogs",1599,"$1,599 ",Monthly,500,1308 S DE Soto Avenue,Tampa,FL,28.0076,-82.4792,RentLingo,1577358405
5509003763,housing/rent/apartment,Apartment in great location. Single Car Garage!,"Square footage: 784 square feet, unit number: 3210-302. If you are searching for the best Cincinnati Apartments, you will find. Station. With a convenient location, units, and luxurious amenities, The Station is not just a to live, but a tohome. Browse our floor plans, images and amenities our helpful staff today to find out more about this tremendous community. Income Requirement: Must have 3. 0x the rent in total household income before taxes, include income from all adults. Utilities: Renter responsible for all utilities. Additional Charges: Renter's insurance required. Pet restrictions: Aggressive breeds, Weight limit: 70lbs. Parking Info: Open lot: included in lease, Garage access from unit to the building: $250/month.",Parking,1.0,1.0,USD,No,Thumbnail,,1350,"$1,350 ",Monthly,784,,Cincinnati,OH,39.1535,-84.4264,RentDigs.com,1568766735
5509270357,housing/rent/apartment,Apartment in move in condition in Lawrence. Single Car Garage!,"Run East Apartments is now The Station! Find the perfect fit in 1 of our newly remodeled one, 2 and 3 beds apartments in Lawrence Township, NJ. The upgraded unit interiors make residents by offering high-quality finishes and thoughtfully designed floor plans. Enjoy gourmet kitchens, spacious closets and a private balcony or patio. Outdoor enthusiasts will enjoy the pets allowed community that features scenic walking paths, a heated swimming pool, gas and charcoal BBQ grills, an outdoor tennis, and close proximity to the Mercer Oaks Golf Course. Located in a premier neighborhood with convenience and commuter accessibility, our Township, NJ apartments offer an unparalleled quality of life in a desirable location. The community is located within close proximity to the one corridor employers and a diverse selection of retail including the Quakerbridge Mall and Costco. Come visit The Mercer for an exceptional living experience in the per Income Requirement: Must have 3.","Parking,Patio/Deck,Pool,Tennis",1.0,2.0,USD,No,Yes,,1600,"$1,600 ",Monthly,837,,Lawrence,NJ,40.2659,-74.6959,RentDigs.com,1568782218
5664579837,housing/rent/apartment,Studio apartment 5700 Ellsworth Ave,"This unit is located at 5700 Ellsworth Ave, Pittsburgh, 15232, PAMonthly rental rates range from $755 - $955We have studio - 1 beds units available for rent Apartment available amenities:-- On Bus Line- Refrigerator- On-Site Laundry- Controlled Access- Public Transportation- Heat Included- Sheltered parking- Range / Oven","Parking,Refrigerator",1.0,1.0,USD,No,Thumbnail,,755,$755 ,Monthly,512,5700 Ellsworth Avenue,Pittsburgh,PA,40.4448,-79.9725,RentLingo,1577015778
